Company,Date,JobLoc,JobTitle,Qualifications,Salary,Text
eXp Realty,1 day ago,Chicago,Accounting AR Analyst,,NA,"eXp Realty is one of the fastest growing real estate brands in North America, with thousands of agents operating across the United States, Canada and around the world. As a full-service real estate brokerage, eXp Realty provides 24/7 access to collaborative tools, training and socialization for real estate brokers and agents through its 3-D, fully-immersive, cloud office environment.
eXp Realty attracts the most talented people from all fields. Whether you're a real estate professional, engineer, marketer, accountant or another field, you'll be challenged and inspired every day. Join us on this incredible journey!
We are fully remote!
General Summary:
This analyst role will focus on Accounts Receivable subledger data and using research and analysis skills to resolve old and aging subledger transactions to resolution. Assist with AR team metrics and analysis to provide necessary information for use in evaluating effectiveness of team performance and process improvement.


Major Duties & Responsibilities:
Responsible for working with the AR manager to identify and track subledger clean up resolution
Investigation including online research, agent inquiry and follow up, calls to title companies or law firms in order to obtain necessary documentation.
Role will be responsible for end to end completion of the required follow thru necessary to execute the subledger clean up and track work.
Work with AR and Cash Teams to ensure better process management thru use of team metrics on a move forward basis
Assist with necessary PCC queue ticketing needs as they arise
Education:
BA/AA in Accounting preferred
High School Diploma/GED required.
Experience:
3+ years of high contact customer service experience.
Experience working in Microsoft Office, Google Suite, and Zoho ticketing software strongly preferred.
Ability to de escalate problem situations and turn them into positive experiences.
Ability to interact with all members of a team to improve service offering
Ability to create a method for maintaining personal work queue.


eXp World Holdings is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability or any other characteristic protected by law."
Prime Consulting Inc,1 day ago,Chicago,Mortgage Processor,"Experience: Loan Processing, 1 year (Preferred)","$41,659 - $42,491 a year","Job Title: Mortgage Loan ProcessorLocation: RemoteDuration: PermanentJob Description: Responsibilities: · Request, review and verify all loan documents such as income, credit, appraisal and title insurance, to ensure complete and accurate information is in the file before it is sent to underwriting.· Obtain verification of deposit, verification of employment, credit report.· Prioritize and monitor daily workflow in order to ensure all loans are being worked on in accordance with company's timeline expectations.· Maintain constant communication with customers on status updates and/or changes to the loan.· Ensure any necessary and critical changes which require re-disclosures have been accurately notated and checked in the loan origination system for compliance purposes.· Coordinate loan closing with customers, title companies, and loan agents.· Resolve any customer service issues or Demonstrate advanced product knowledge of FHA, VA, Conventional and other loan programs such as Home Equity Lines of Credit, 2nd Mortgages, Home Improvement, down payment assistance and bond programs.· Demonstrate working knowledge of federal and state guidelines, rules and regulations such as RESPA, TILA, HMDA, etc.Qualifications: · Minimum 4 years of residential mortgage loan processing experience required.· Must have High School Diploma/GED.· Must be experienced in automated underwriting. To include Fannie/Freddie (CONV/FHA/VA/RD)· Applicant must be detail oriented and be able to multi task.· Must possess excellent written and verbal communication skills.· Must possess a superior customer service focus.· Must be able to prioritize in order to meet loan closing deadlines.· Must be able to work independently on processing various loan applications.· Ability to sit at for 6-8 hours a day.Job Type: Full-timePay: $41,659.00 - $42,491.00 per yearSchedule:Monday to FridayExperience:Loan Processing: 1 year (Preferred)Work Remotely:Yes"
P & K Market Research,1 day ago,Chicago,Associate Research Strategist,,"$35,000 - $40,000 a year","Associate Research StrategistP & K Market ResearchChicago, IL 60631Job detailsPay$35,000.00 - $40,000.00 per yearJob typeFull-timeSchedule8 hour shiftMonday to FridayBenefitsHealth insurancePaid time offDental insurance401(k)Vision insuranceLife insuranceDisability insuranceFlexible spending accountHealth savings accountNumber of hires for this role1Job descriptionAssociate Research Strategist – Research ManagementP&K Research is a full-service custom consumer market research company, with a focus on product testing.As a member of the Research Management team, this position provides support across multiple accounts, assisting in project management. Under the guidance of senior staff, the role is expected to work independently and to take responsibility for key tasks along the project journey, with the opportunity to learn product research from the ground up.Responsibilities:This position will report to a Senior Research Strategist or Director of Research Strategy and the primary responsibilities include:Participating in communication of study design/methodology with client and internal operation departmentsInitiating and progressing the study in the P&K database management systemDeveloping the recruiting screener and questionnaire, and quality checking the screener and questionnaire program links before they are publishedGenerating the preparation and serving protocol for the study, and communicating with labs all study execution details.Interacting with the Contact Center during the respondent recruiting process to ensure quotas and timelines are metDevelop banner analytic plans to communicate with data processing the data summary and statistics requirementsPopulate and proof data topline and final report deliverables, ensuring they are client readyTravel for study if required (10%)Qualifications:BA/BS in fields such as social or behavioral sciences, marketing, sensory evaluation (food science); Minimum 1 yr. market research experience a plusProficiency in Microsoft Office programs (Word, PowerPoint, Excel, Outlook)Self-motivated, with an attention to detail who strives in a dynamic, deadline-driven environmentStrong organizational, multi-tasking, decision-making and problem-solving skills, with the ability to prioritize efficiently across multiple projectsshow lessWork Location:One locationThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingTeam-oriented -- cooperative and collaborativeCompany's website:pk-research.comBenefit Conditions:Waiting period may applyRemote work allowed:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredTemperature screeningsSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in placeJob Type: Full-timePay: $35,000.00 - $40,000.00 per yearBenefits:401(k)Dental insuranceDisability insuranceFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridayWork Location:Multiple locationsThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingTeam-oriented -- cooperative and collaborativeCompany's website:pk-research.comBenefit Conditions:Waiting period may applyWork Remotely:YesCOVID-19 Precaution(s):Personal protective equipment provided or requiredTemperature screeningsSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place"
Greenworks Lending,2 days ago,Chicago,Associate Director of Market Activation,,NA,"About Greenworks Lending
Greenworks Lending is a rapidly growing company with the goal of changing how our country’s buildings produce and use energy. We finance clean energy retrofits and clean new construction on commercial building through an innovative program called C-PACE (Commercial Property Assessed Clean Energy). C-PACE is a public-private financing mechanism through which private lenders provide low-cost, long-term funding for energy efficiency, renewable energy and water conservation projects in commercial properties. C-PACE financing is repaid as an assessment on the property’s regular tax bill and processed the same way as other local public benefit assessments have been for decades. C-PACE is gaining traction among real estate owners and developers who are incorporating this specialty financing into their capital stacks.
Greenworks Lending is the nation’s leading C-PACE provider, currently active in 23 states and the District of Columbia. We have offices in Darien, CT (HQ), New York, NY, Bethesda, MD and San Francisco, CA. This position is remote and the expectation is that the ideal candidate would be located in Colorado, California, Illinois, Texas or New York and could travel as needed.
Role Summary
The Associate Director of Market Activation and Strategy plays a critical role in all aspects of market development throughout the country. The position sits within the nexus of clean energy, finance and commercial real estate development.
The Associate Director will benefit from rapid on-the-job learning, unparalleled strategic input, access to company executives and tremendous growth potential.
Key responsibilities include:
Creating interest in Greenworks and the C-PACE asset class from a blank or nearly blank canvas in multiple markets across the country.
Creating a strategy and executing on an overarching framework for establishing markets and bringing them to further maturation.
Breaking into new relationships and “getting your foot in the door” via any effective means necessary.
Aligning a pitch and navigating to a strong value proposition for the needs of that particular stakeholder to increase the odds of success.
Effortlessly walking through - even for the most sophisticated audiences – the Greenworks and C-PACE value and process so as to win new deal flow for the firm.
From one’s efforts, generating deal flow into the firm’s pipeline and handing off the execution of deals and channels to the proper parties at Greenworks.
From one’s immersion in the markets, working with senior leadership to refine channel strategy, marketing activities, product orientation and overall firm efforts.
Qualifications:
The Associate Director’s role is suited for a mid-career (5-10 years’ experience) professional with experience in market/product/policy development work. Top candidates will have the following characteristics:
Ability to self-manage and generate activity, momentum and success on their own.
Creative thinker and the ability to generate new manners and methods to arrive at fundamental end-goals and needs of the position.
Natural ability to establish and maintain personal and business relationships as a means to create deal flow for Greenworks.
The political instincts to see relationships and networks and to extract value for the firm through pro-active engagement.
Emotionally nuanced and able to “read an audience” and empathize with counterparties interests and goals.
Ability to engage positively with both external and internal stakeholders
Excellent interpersonal skills (phone and in-person) and written and verbal communication skills
High level of adaptability to a quickly changing environment
Demonstrated interest in sustainability and/or clean energy deployment
Details:
Competitive salary and outsized bonus potential based on exceeding revenue goals
Paid time off; health care, dental, vision, FSA, HSA, commuter benefits, 401K
Social activities and a flexible schedule/work life balance philosophy
This is an excellent opportunity for motivated individuals to grow with a rapidly expanding company and further their career path.
Greenworks Lending is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Powered by JazzHR
QhvWtiU3i9"
LafargeHolcim in the US,4 days ago,Chicago,"Communications Intern, Geocycle",,NA,"Overview:

Communications Intern, Geocycle

Company Description:
Geocycle, as LafargeHolcim affiliate, dedicates itself to advancing a zero-waste future. Our approach to industrial waste management helps solve the global waste challenge. By providing responsible, sustainable solutions, we contribute to a cleaner environment and better, more appealing living spaces. We work with our stakeholders in communities around the world to advance a circular economy and ensure a brighter, zero waste tomorrow. Our co-processing solution, which utilizes the cement kiln for disposal, prevents residues and reduces the need for landfills. It frees up valuable land for more profitable human use. It also eliminates toxins that can find their way into soil and ground water.
Responsibilities:

Responsibilities:
This assignment’s goal is to promote the Geocycle brand via providing social media and marketing communications support. The responsibilities include:
Understand the overall concept of the company, including the brand,
customers, and all other aspects of service
Support content development for various social media accounts, internal and external communication channels
Draft communication pieces oriented to various target audiences
Manage the company’s social media accounts and intranet page(s) and post content
Provide suggestions to management for improving customer experience on
social platforms
Perform other brand-promoting tasks as required
Qualifications:

Qualification Profile:
Excellent writing skills
Experience with content development and drafting communication pieces
Experience with managing social media accounts
Proficiency- MS Word, MS Power Point
Must be team oriented and able to work internal stakeholders at all levels of the organization
Must be organized, responsible and a self-starter; willing to work remotely (mostly)
Requirements:
Must be currently enrolled in an undergraduate University of Bachelor’s Degree program – Communications, Public Relations, Marketing preferred
Minimum GPA of 3.0 from an accredited academic institution
Only accepting local students
No employment sponsorship or housing assistance is provided for this position."
Savantis Solutions LLC,5 days ago,Chicago,Data Modeler,Data modeling: 1 year (Preferred)Supply Chain data: 1 year (Preferred)US work authorization (Preferred),NA,"Job Role:  Data Modeler with Supply Chain expLocation:  RemoteDuration:  12 MonthsJob Description: Experience with SAP Supply Chain dataUnderstand and translate business needs into (Supply Chain centric) data models that support known and scale to future requirements.Work with the Development teams to ensure alignment with overarching data strategies, build data flows and develop conceptual data models that can be easily curated and consumed.Create logical and physical data models using best practices to ensure high data quality, have the ability to scale , and reduce redundancy to provides predictable performance.Optimize and update logical and physical data models to support new and existing projects.Develop, maintain, and document conceptual, logical and physical data models along with corresponding metadata based on business requirements.Develop and/or adhere to best practices and organizational standards for naming conventions and coding practices to ensure consistency and scalability of data models.Recommend opportunities for reuse and assimilation of data models in new environments.Perform reverse engineering of physical data models from databases and SQL scripts to help document and design conceptual data models.Evaluate data models and physical databases for variances and discrepancies.Validate business data objects for accuracy and completeness based on business requirements.Assist IT Analysts and Developers on data model capabilities, limitations, interfaces and required performance requirements.Azure and/or Hadoop experience (not coder experience) a plusJob Types: Full-time, ContractSchedule:8 hour shiftMonday to FridayExperience:Data modeling: 1 year (Preferred)Supply Chain data: 1 year (Preferred)Work Location:One locationWork Remotely:YesCOVID-19 Precaution(s):Remote interview processTemperature screeningsSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place"
LifeSOULutions that Work dba Brave Thinking Institute,5 days ago,Chicago,Digital Marketing Strategist,,"$65,000 - $75,000 a year","Marketing StrategistWe are an industry leading personal development company whose mission is to empower people to create and live a life they love. We are looking for an experienced Marketing Strategist to join our heart-centered and mission-driven “Dream Team of Marketing.” As our Marketing Strategist, you will be responsible for designing, building and optimizing direct response marketing funnels and promotional campaigns that are innovative, produce world class conversion rates and sales while being aligned with our brand.Are you the perfect fit?Do you have 3+ years experience designing, building, managing and optimizing successful direct response campaigns?Do you have a proven track record of success in the information marketing space?Are you results driven, committed to exceeding goals and have a burning desire to consistently create record breaking performance?Are you passionate about direct response advertising/marketing and constantly seek opportunities to study, learn and grow your skills?Do you have experience managing and prioritizing multiple projects in a fast-paced environment?Are you analytical, very good with data and excellent in seeing the story the data is showing you?Are you highly organized and detail oriented? *… then you may be the perfect addition to our world-class team!Required Skills/Experience:3+ years experience and a proven track record designing, building and optimizing word class direct response campaigns in the information marketing industry (coaching or personal development industry experience a plus).Strong knowledge of Google Analytics (+ similar tools) for determining key traffic points, user behavior, and conversion rates.Proficient with research tools such as Google Keyword Planner, BuzzSumo, SEMRush, Facebook & YouTube Insights, SpyFu, Amazon, etc.Can read HTML well enough to QA elements on a page such as pixels, tracking, form data, etc.UTM Parameters (understand use and ability to read and build)InfusionSoft / Keap CRM (or similar + ability to learn immediately)Asana Task Management System (or similar + ability to learn immediately)Google Apps - Docs, Sheets, Slides, DriveCommunication Tools - Google Meet, Skype, ZoomPerks:Opportunity to work in a fast-growing, heart-centered business with a mission for helping people create a life they love living.Work remotely (from home or anywhere with a high-speed internet connection).Opportunity to attend live events and trainings (as safety allows).Opportunity for advancement in career.Health/Dental Benefits401K PlanPaid HolidaysPaid Time Off**Compensation:This position is a full time, remote position.Compensation is salary + bonus.Total compensation range: $65,000 - $75,000**To Apply:If you’ve made it this far and you are still thinking, “this is a perfect fit for me”, then you are ready to take the next step…**To apply, send the following to Opportunity@BraveThinkingInstitute .comYour resume and cover letterIn your email, please share with us:Why are you the best person for this role?How many years experience do you have designing and optimizing direct response marketing campaigns/funnels?Have you worked in the information marketing space? If so, what specific industries?Once we receive the above information from you, we will send you next steps in the interview process.Thank you for your interest in joining our team!***Job Type: Full-timePay: $65,000.00 - $75,000.00 per year"
Thermo Fisher Scientific,Just posted,Chicago,Product Marketing Manager GC&GCMS/CDS,,NA,"Join a global team of highly engaged and collaborative software and marketing experts to help drive our continued growth in the analytical science markets. The eCDS product marketing team promotes Chromeleon through impactful marketing programs, sales enablement activities and regularly interactions with customers through seminars or targeted 1:1 activities.
We are looking for a marketing specialist for Chromeleon’s quantitative MS/MS software capabilities to expand our eCDS team. This role is fully remote based from Western Europe or Eastern/Central United States.
The ideal candidate
Has practical experience with ThermoFisher Scientific’s GC-MS or/and LC-MS QQQ instruments in the Food Safety, Environmental or Pharma Contract Testing Lab applications.
Is willing to travel up to 25% of their time
Is self-motivated and used to work towards challenging goals
Enjoys collaboration and interaction with their team and peers
Essential Duties and Responsibilities:

Market and promote Chromeleon capabilities for quantitative MS/MS analysis in Analytical Science markets to internal and external customers:
Create Value-Add Chromeleon marketing collateral for Analytical Science segments in Environmental, Food Safety and Contract Testing Labs
Develop and deliver agreed sales tactics on time as defined in the annual marketing plan and the rolling Marcom planning calls
Marketing product expert/champion for sales & marketing, distribution channel, customers, and press, media and industry analysts on quantitative MS/MS analysis in Analytical Science
Conduct sales enablement activities (remote, f2f and recorded/eLearning) for the commercial Account Manager and eCDS Specialist channels
Identify promotion opportunities and drive value-add promotions around Quan MS/MS Software
Support commercial teams in their sales activities for Chromeleon
Become the primary interface for Quan MS/MS software related interactions to sales and BU peers
Reply to written or phone requests for sales support activities from commercial contacts
Closely work with the eCDS and CoE pre-sales channel to educate them on best practices how to demo Chromeleon software, create scripts and pre-recorded short, canned demo versions with pre-configured systems
Head regular remote and if necessary f2f meetings with the pre-sales channel to enable sharing of best practices, collect feedback and drive continuous education
Assist eCDS sales channel to drive generalist and specialist training
Conduct joint remote and f2f visits with commercial at key customers or for key deals
Provide market insights, application understanding and Sales Messaging for WiAS segment:
Be the key subject matter expert and “go-to” person to eCDS BU peers on all quantitative MS/MS market and application topics
Understand, document and share MS/MS quantitation market and customer needs with software product management and peer Bus
Understand market/customer dynamics to suggest portfolio adjustments
Provide feedback to Product Managers and Core team regarding key customer criteria for successful future product roadmap and feature enhancements
Develop competitive position and (software) winning points for Chromeleon as MS/MS application software
Requirements:
University degree in Analytical Science, Chemistry, Chemical Engineering or similar sciences OR minimum of eight years practical experience with MS/MS instrument operation using ThermoFisher or competitor instruments. Optional marketing degree would be a bonus
Minimum of five years practical experience operating MS/MS instrumentation
Of which a minimum of three years practical experience in Pharma CTL, Environmental or Food safety applications/markets
Detailed product knowledge on MS/MS quantitation Software
Minimum of two years practical experience with Chromeleon
Excellent written and oral presentation skills
Fluency in English language
Advanced communication skills
Highly desirable:
Practical experience with TraceFinder Software
Understanding of (regulatory) requirements of the Pharmaceutical and Food Safety Industries
High-level understanding of market drivers and applications in adjacent markets (Chem/Petro, Environmental)
High degree of personal initiative and self management
Ability to influence others without direct control (Matrix management)
Ability to connect with customer base, determine business issues, and devise innovative solutions."
American Diabetes Association,Today,Chicago,"Associate Director, Development (Remote)",,NA,"Associate Director, Development (Remote)
 - (2100000L)
The American Diabetes Association is seeking an experienced fundraising professional to develop and steward corporate and individual relationships. Primary duties of the Associate Director, Development include the development and stewardship of existing and new corporate partners, individuals and volunteers.
This individual will identify new opportunities to grow portfolio engagement across all fundraising channels to increase revenue, including corporate partnerships, commercial co-ventures, special events, and individual giving. A successful Associate Director will manage and steward a portfolio of corporate and individual relationships and work as a team player to drive growth that achieves our mission and revenue goals. This position is accountable for significant revenue targets and will influence the strategic implementation of local and nationwide initiatives.
The ideal candidate must have a proven track record of success in fundraising and/or sales and relationship management. Exceptional organizational and written and verbal communication skills are necessary for this position. Must have ability to multitask, meet deadlines, and achieve results in a team environment.
This position will work remotely within 100 miles of the assigned market.
RESPONSIBILITIES:
 Creates and executes fundraising strategies to raise $500,000–$750,000 annually from corporations; works to grow additional sources of revenue
 Serves as a key member of the development team, influencing and driving strategy, relationships and best practices to accomplish market and region financial goals
 Responsible for developing and stewarding a portfolio of relationships to provide funding for our mission (sponsorship, retail campaigns, event teams, grants, donations and other partnerships)
 Develops revenue projections and provides financial analysis
 Oversees stewardship activities; ensures a high-touch response to partners and donors
Recruits and leads high-level volunteers to provide local leadership, resources and partnerships
Drives donor-centric partnerships to support financial goals of market events, programs and prioritized initiatives.
Delivers a high level of customer service to all constituents
 Ensures compliance with Association policies, including employment, risk management, event and cash handling, and financial controls
Demonstrates integrity, collaboration and stewardship
Performs other duties as assigned
QUALIFICATIONS
Bachelor’s degree and 3 years of nonprofit, fundraising and/or sales experience preferred
Experience in peer to peer fundraising is strongly preferred.
Established success in fundraising and nonprofit leadership
Proven record of success in account management and developing corporate partnerships that result in exceeding revenue targets
Knowledge of product marketing/sales concepts
Outcome driven with ability to respond to changing circumstances and priorities
Ability to manage and motivate groups and individuals
Excellent oral and written communication, presentation and interpersonal skills
Strong market, community and constituent perspective
Proficiency in computer-based information systems
Ability to work some nights and weekends
Take Your Career On A Mission

Are you looking for a career that directly impacts your community and beyond?

Over 34 million Americans have diabetes and over 84 million have prediabetes. The American Diabetes Association (ADA) offers a rewarding career working for one of the premier voluntary health organizations in the world supporting people with type 1 & type 2 diabetes.

Our employees like working at the ADA because of our mission, the inclusive environment, work-life balance, our benefits and our culture. Joining our dedicated team affords the gratification of knowing beyond a doubt that you will impact the lives and well-being of millions.
Equal Employment Opportunity

It is the policy of the American Diabetes Association to provide equal employment opportunity to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law.

To find out more about the ADA as well as other exciting and fulfilling career opportunities please visit us at www.diabetes.org/careers. For full consideration, you must apply directly to the Association’s Careers Page.
There’s nothing we can’t do when we’re Connected for Life!

Primary Location US-IL-Chicago
Work Locations IL02 Chicago IL 55 East Monroe Street Suite 3420 Chicago 60603
Job Associate Director
Organization ADA BU
Schedule Regular
 Regular
Job Type Full-time
Job Posting Feb 10, 2021, 10:59:37 AM"
IQVIA,Today,Chicago,Virtual Sales Representative - Cardiology - Central - 2741408,,NA,"As the only global provider of commercial solutions, IQVIA understands what it takes to deliver nationally and internationally. Our people help biopharma get their medicines to the people who need them. We help customers gain insight and access to their markets and ultimately demonstrate their product's value to payers, physicians and patients. A significant part of our business is acting as the biopharma's sales force to physicians or, providing therapy area educational input to physicians and patients. With the right experience, you can help deliver medical breakthroughs in the real world.
Virtual Sales Professional – Cardiology
IQVIA is looking for high performing, results-oriented sales professional with a track record of success to join our team as a Virtual Sales Professional. This role is responsible for selling Biopharmaceutical products directly to cardiologists and working collaboratively with a field-based sales team on behalf of our client, AstraZeneca.
The Virtual Sales Professional (VSP) engages health care professionals (HCPs) in virtual discussions to promote assigned client products, maximize the products’ selling potential and meet program and Client objectives. The VSP achieves this by developing and maintaining relationships with HCPs and educating them about product features, benefits, safety profile and approved indications to ensure appropriate patient use. The VSP utilizes approved tools and resources for product promotion and maintains a competent level of product, territory and customer activity knowledge.
Responsibilities:
Create and implement strategically sound business plans and tactical strategies within the assigned customer base to achieve individual and company goals for sales, market share, call metrics, appropriate sample distribution, etc.
Manage daily sales call activity according to defined expectations, with the purpose of influencing customers and increasing product sales:
On behalf of Client, promote Client's products via virtual interactions with assigned HCP targets, engaging them in in-depth program.
Profile and manage a list of HCP targets and provide value-added benefits to grow product volume.
Maintain call productivity and metrics that are required by program.
Manage promotional budget.
Maintain thorough knowledge of AstraZeneca’s products and programs.
Fully comply with all laws, regulations and Supplier Policies, Code of Conduct, all privacy and data guidelines, relevant state and federal laws and regulations, and terms and conditions prescribed in the Sample Administration Agreements and PDMA Guidelines.
Participate in teleconference and live National, regional and district meetings and training sessions and represent client at National and/or local conventions when requested.
Requirements:
Results-oriented with a track record of success.
Bachelor’s degree required.
1+ years sales experience required with:
Experience in inside sales/ contact center required
Pharma/biotech and/or B2B sales experience preferred
Demonstrated success in prior roles i.e. sales rankings, awards & achievements
Superior verbal, written, and interpersonal communication skills
Ability to clearly articulate via phone in a professional and grammatically proficient manner, with the ability to adapt tone, volume, and pace to most effectively communicate
Ability to travel to work related meetings and functions (including overnight and/or weekend).
Must be able to successfully complete client training and meet training expectations in order to proceed to servicing client’s customers within the parameters of the program.
Qualifications, Skills and Abilities:
Results-oriented with a track record of success.
Excellent verbal, written and interpersonal communication skills.
Clear, articulate and grammatically sound speech and professional appearance.
Strong rapport building skills and active listening skills.
Excellent selling, closing, persuasion and presentation skills.
Ability to learn, understand and communicate complex technical/medical terminology and to maintain the required technical expertise including competitive product knowledge.
Self-motivated and disciplined.
Good organizational and planning skills, strong attention to detail and accuracy.
Demonstrated technical aptitude with computer technology and devices (e.g. iPad, apps).
At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. The advanced analytics, technology solutions and contract research services we provide to the life sciences industry are made possible by our 67,000+ employees around the world who apply their insight, curiosity and intellectual courage every step of the way. Learn more at jobs.iqvia.com.
IQVIA is an EEO Employer - Minorities/Females/Protected Veterans/Disabled
IQVIA, Inc. provides reasonable accommodations for applicants with disabilities. Applicants who require reasonable accommodation to submit an application for employment or otherwise participate in the application process should contact IQVIA’s Talent Acquisition team at workday_recruiting@iqvia.com to arrange for such an accommodation."
