Company,Date,JobLoc,JobTitle,Qualifications,Salary,Text
Gesture,Just posted,NYC,Customer Service Intern,Customer Service: 1 year (Preferred)US work authorization (Preferred),NA,"We are on a mission to make the world smaller with one Gesture at a time. Being one of the newest on-demand companies in the market, we live out our company mission by helping to provide the solution to the age-old problem of overpriced “gifting.” With Gesture, anyone can easily send flowers, wine, champagne and so much more from all across the nation starting at $25, with no surprise fees.Helping you stay connected one Gesture at a time.We are seeking a Remote Customer Success & Experience intern (Unpaid) to join our team! You will be responsible for maintaining and implementing a positive customer experience and ensuring we are delivering value while sustaining business growth and scalability.Responsibilities:Handle and resolve customer inquiries and requestsAnalyze customer data to improve customer satisfaction and identify opportunities for improvementImprove communication between company and customersOnboard new customers to ensure we are meeting their expectations and providing value to their objectivesDevelop and implement customer retention strategies, while identifying ways to attract new customersSustain business growth and scalability through CRMAct as an advocate for the company and promote brand loyaltyResearch and be an active participant in product developmentRequirements:College Credit OnlyMust be available Monday - Friday (5pm - 11pm EST) or Weekends (11am - 7pm EST)Degree in Communication, Marketing, Business Administration, or related fieldExcellent communication skillsProactive and determined mindsetExperience in customer service is a plusAbility to multi-task and work in a dynamic and fast-paced environmentWe encourage you to visit yourgesture.com at your earliest convenience.We look forward to meeting you soon.All the learning benefits of a large efficiently operated tech company, however still allowing the scrappiness of a start-up environment.Gesture is an Equal Employment Opportunity employer and values diversity. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.Job Types: Part-time, InternshipPay: Up to $0.10 per yearSchedule:Monday to FridayWeekendsExperience:Customer Service: 1 year (Preferred)Work Location:Multiple locationsCommunication method(s) used:EmailPhoneChatInternship Compensation:College CreditJob Duties:Answer incoming customer inquiriesCollaborate with management teams to stay updated on new products, services, and policiesRecord customer information within our customer service databaseEngage with clients in a friendly and professional manner while actively listening to their concernsOffer support and solutions to customers in accordance with the company's customer service policiesOther duties as requestedCompany's website:https://sendagesture.com/shopCompany's Facebook page:https://www.facebook.com/sendagestureWork Remotely:YesCOVID-19 Precaution(s):Remote interview processVirtual meetings"
Rorixwell Inc.,Today,NYC,Online ESL Tutor,"Experience:childcare, 1 year (Preferred)Education:Bachelor's (Preferred)License:TESOL/TEFL/CELTA (Required)",$12 - $15 an hour,"HIRING ONLINE ENGLISH TEACHER!Rorixwell is hiring online English teachers. If you are an experienced online ESL educator with TEFL/TESOL/CELTA certificate and love teaching young learners, come check it out!Who we are:  Rorixwell is an online English study institution which aims to provide online English education service to Chinese students. Our innovative platform is dedicated to sustaining improved teaching services.Job Description:Student Age Group: age 5-15Class Size: up to 16 studentsClass Length: 25~55minThe curriculum will be providedTeaching hours(Beijing Time): Monday to Friday 5:00 pm-8:30 pm. Sat&Sun: 8:00 am-12 pm, 5pm-8:30pm.Job Requirements:Bachelor’s Degree in any fieldTEFL/TESOL/CELTA qualificationAt least 1- year ESL/EFL teaching experience – preferably online and with young learnersSpeak English at an idiomatic levelLaptop/Computer, Headphone + High-Speed InternetLong term commitmentContract length: 12 monthsPart-time hours: 15 per weekJob Types: Part-time, ContractSalary: $12.00-$15.00 per hour (+ Attendance bonus)Contract length: 12 monthsJob Types: Part-time, ContractSalary: $12.00 - $15.00 per hourSupplemental Pay:Bonus payExperience:childcare: 1 year (Preferred)Education:Bachelor's (Preferred)License:TESOL/TEFL/CELTA (Required)Work Remotely:Yes"
THE CENTER FOR HUMAN REPRODUCTION,1 day ago,NYC,Social Media Manager,Associate (Preferred)Social Media Management: 1 year (Preferred)Marketing: 1 year (Preferred)US work authorization (Preferred),$15 - $30 an hour,"Prominent clinical fertility and research center in Manhattan with worldwide patient clientele is looking for an experienced social media marketing manager to set up, optimize, track and report on marketing campaigns for distinct audiences. Desired are 3-5 years of social media marketing experience, an analytical mind and strong goal-orientation. Presence in NYC preferred. Minimum time commitment 10 hours/week. As a Social media manager, we expect you to be up-to-date with the latest digital technologies and social media trends. You should have excellent communication skills and be able to express our company’s views creatively. Ultimately, you should be able to handle our social media presence ensuring high levels of web traffic and customer engagement.ResponsibilitiesPerform research on current benchmark trends and audience preferencesDesign and implement social media strategy to align with business goalsSet specific objectives and report on ROIGenerate, edit, publish and share engaging content daily (e.g. original text, photos, videos and news)Monitor SEO and web traffic metricsCollaborate with other teams, like marketing, sales and customer service to ensure brand consistencyCommunicate with followers, respond to queries in a timely manner and monitor customer reviewsOversee social media accounts’ design (e.g. Facebook timeline cover, profile pictures and blog layout)Suggest and implement new features to develop brand awareness, like promotions and competitionsStay up-to-date with current technologies and trends in social media, design tools and applicationsSkillsProven work experience as a Social media manager (3-5 years preferred)Hands on experience in content managementExcellent copywriting skillsAbility to deliver creative content (text, image and video)Solid knowledge of SEO, keyword research and Google AnalyticsKnowledge of online marketing channelsFamiliarity with web designExcellent communication skillsAnalytical and multitasking skillsExperience in healthcare a plusRelated keywords: social media, social media manager, marketing, social media marketingJob Types: Full-time, Part-time, Contract, TemporaryPay: $15.00 - $30.00 per hourBenefits:401(k)401(k) matchingFlexible scheduleHealth insuranceLife insurancePaid time offRetirement planEducation:Associate (Preferred)Experience:Social Media Management: 1 year (Preferred)Marketing: 1 year (Preferred)Contract Length:VariesWork Location:One locationEmployment Length:VariesThis Job Is:A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or moreA good job for someone just entering the workforce or returning to the workforce with limited experience and educationOpen to applicants who do not have a college diplomaCompany's website:https://www.centerforhumanreprod.comBenefit Conditions:Waiting period may applyWork Remotely:YesCOVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place"
Club Feast,1 day ago,NYC,Strategy and Operations Manager,US work authorization (Required)Bachelor's (Preferred)Management Experience: 1 year (Preferred),"$60,000 - $70,000 a year","Strategy and Operations Manager Who You AreYou possess business acumen, and relate all strategic intricacies to business results. You possess consulting skills—you have the ability to clearly define problems, create hypotheses about the problem causes, propose solutions, and manage operations within the company while keeping our restaurant stakeholders satisfied and projects on track. You love scaling processes, leading projects and multiple cross-functional partners, and diving deep into the details to create operational efficiency. You excel at solving problems, running multiple workstreams, and engaging with stakeholders so as to deliver on key business goals that ensure regulatory compliance and unleash growth.ResponsibilitiesOversee a team which responds to restaurant inquiries, proactively works to improve their experiences, and propels the business forward.Identify business priorities such as growth opportunities or operational weaknesses and help drive the team's strategy and improve or innovate processes.Proactively work to improve merchants’ experience.Own processes from start to finish to ensure a smooth experience for our restaurant stakeholders.Manage escalations and day-to-day requests of our restaurant stakeholders.Ensure daily and weekly targets are met by reviewing financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement, while identifying areas that need cost reduction or program improvement.Identify and execute on new ways to enhance our partners’ experience.Qualifications1+ years of experience in strategy / consulting / business intelligence / compliance or related experience.Some high-growth operations, tech, or startup experience.Project management experience in a cross-functional setting.Data-first problem solver with excellent Excel or data analysis skills.Clear communicator with the ability to work across business functions.Self-motivated and self-starting - works well independently and possesses strong organization and time management skills.Strong, demonstrated leadership capabilities.Related keywords: marketingJob Types: Full-time, ContractPay: $60,000.00 - $70,000.00 per yearSchedule:Monday to FridayOn callEducation:Bachelor's (Preferred)Experience:Management Experience: 1 year (Preferred)Work Location:Multiple locationsCompany's website:www.clubfeast.comBenefit Conditions:Only full-time employees eligibleWork Remotely:YesCOVID-19 Precaution(s):Remote interview processVirtual meetings"
Discovery Communications,1 day ago,NYC,Intern Program Event & Marketing Internship- Summer 2021 (Virtual),,NA,"Internship Description:

The Intern Program is part of the wider recruitment team that helps bring the best talent to Discovery. We aim to create a top caliber Intern Program that brings in top students and provides them with an amazing hands on learning experience. We are a small but mighty team that handles all of the recruitment for our nationwide program, executes events and workshops, fosters an alumni program and markets Discovery on campus.

As an Intern Program Marketing & Events Intern, your adventure could lead you to work on projects and tasks such as:
Hands-on experience with program management, community management, event planning and corporate recruitment.Facilitate planning and executing summer intern eventsBuild camaraderie amongst interns across the nationBrainstorm creative ideas to advertise and market Discovery Inc. on campus
Although our summer internship program will be completely remote (students can apply from anywhere), please be aware that this intern will report into a New York City based manager and therefore should expect to work on eastern standard time.
Requirements:
Must be currently enrolled as a student (proof of enrollment will be required if selected for an internship)Must be a rising Junior, Senior, or Graduate studentMust have at least a 3.0 GPAMust have the legal right to work in the United States.Design skills are a plus
More About the Intern Program:

Discovery’s internationally recognized intern program attracts the country’s boldest and brightest students for a paid, for-credit, real-world work experience in the entertainment and media industry.
Like other Fortune 500 companies, we believe in immersing our students in all aspects of our business, giving them first hand experience working for the global leader in real life entertainment. So what sets us apart? We’re passionate about investing in our interns- both personally and professionally. Whether our program is in-person or remote, every semester is packed with speaker sessions with executives, LinkedIn profile reviews, recruiter panels, roundtable events and professional seminars- and that just scratches the surface.
Think our program sounds pretty awesome? Our former interns thought so too! This year, we were voted into Vault’s 2021 internship rankings for best overall internships, best media and telecom internships, best sales and marketing internships and best internships for diversity.
Ready to learn more? Here’s what we offer:
Mentorship from some of the industry’s kindest and most passionate entertainment veterans
Professional development seminars, panels with recruiters and former interns, intern-exclusive events, and so much more
Access to top level executives and employees through our Speaker Series and Roundtables
Incredible networking opportunities and a robust intern alumni network
A creative, collaborative and inclusive company culture
What you can expect to take away from the semester:
Opportunity to develop professionally and uncover skills you didn’t know you had
The insider scoop on the TV industry and what happens behind the scenes
Relationships that will go beyond your collegiate career
Real life experiences that will provide you with the confidence to delve into your next adventure
And finally, what to know before applying:
We offer 12 week spring and summer opportunities
Our Summer 2021 program will be fully remote- the program will run from June 2-August 20.
The application deadline for Summer 2021 is March 19th. After this date, we cannot guarantee your application will be reviewed for the position.
Our internships are paid opportunities. Credit is not required; however, we will provide necessary documentation for school credit if desired.
We do not require a cover letter- please do not submit one. Instead, demonstrate your passion for the position through your resume and interviews.
Interviewing will take place from February through mid-April. A Discovery Intern team member will contact you if your experiences and interests match an open internship position. Due to the high volume of applications, we are unable to give individual status updates."
Zurich insurance,1 day ago,NYC,Regional F&I Producer - Albany,,NA,"Job Summary
If you are an experienced, aggressive sales leader, now is your chance to join Zurich Alternative (Direct) Markets. We have a highly sought after opening for a Regional Finance and Insurance Producer in our New York State territory. The ideal candidate could live in either the Albany or Syracuse markets.

About Zurich Direct Markets:
This business unit specializes in providing F&I products, to the automotive industry. We have a dedicated sales force who meet regularly and directly with our customers.

Our Regional Finance and Insurance Producers:
Generate new F&I opportunities within the large retail automotive space and support the marketing of F&I products in assigned territory (This opportunity requires candidates to live within the covering territory.)
Drive a high volume of new business opportunities within an existing territory to increase growth and profitability
Earn a competitive base salary with generous incentives and unlimited earning potential
Receive excellent benefits AND a company car (All candidates are subject to an MVR check)
Work in an entrepreneurial atmosphere
Job Qualifications
Basic Qualifications:

• High School Diploma or Equivalent and 2 or more years of experience in the Sales area
OR
Zurich approved Apprenticeship program including an Associate Degree and No prior experience required in the Sales area
AND
Knowledge of principles of sales, sales techniques, and sales terminologyKnowledge of requirements within insurance industry regulatory environmentKnowledge of Microsoft OfficeThe ability to be licensed to sell insurance in the states where required

Preferred Qualifications:

• 4 or more years of sales experience, Automotive industry experience preferred
Licensed to sell insurance in the states where requiredExperience analyzing financial statements

A future with Zurich

Now is the time to move forward and make a difference. At Zurich, we want you to share your unique perspectives, experiences and ideas so we can grow and drive sustainable change together. As part of a leading global organization, Zurich North America has over 148 years of experience managing risk and supporting resilience. Today, Zurich North America is a leading provider of commercial property-casualty insurance solutions and a wide range of risk management products and services for businesses and individuals. We serve more than 25 industries, from agriculture to technology, and we insure 90% of the Fortune 500®. Our growth strategy is not limited to our business. As an employer, we strive to provide ongoing career development opportunities, and we foster an environment where voices are diverse, behaviors are inclusive, actions drive equity, and our people feel a sense of belonging. Be a part of the next evolution of the insurance industry. Join us in building a brighter future for our colleagues, our customers and the communities we serve. Zurich maintains a comprehensive employee benefits package for employees as well as eligible dependents and competitive compensation. Please click here to learn more.

EOE disability/vets

Zurich does not accept unsolicited resumes from search firms or employment agencies. Any unsolicited resume will become the property of Zurich American Insurance. If you are a preferred vendor, please use our Recruiting Agency Portal for resume submission.“

Primary Location: AM - New York, -UNTICK SYSTEM LOCATION
Remote working: true
Schedule: Full Time
Recruiter name: Lisa Bohannon
Reward Level: 5T - Specialist <br>"
Horsesmouth,2 days ago,NYC,Digital Production Associate,,NA,"HorsesmouthHorsesmouth helps financial professionals educate their clients and grow their businesses. Our portfolio of products and services combine education, marketing and technology to serve tens of thousands of advisors, consultants, agents, accountants and other professionals. We are guided by extensive primary research and two decades of experience. The company was founded in 1996 and is headquartered in midtown Manhattan, with employees spread out across the country.The RoleWe are seeking a moderately experienced production associate to help us produce content originating from our editorial team (and broad network of partners) and manage it across a growing network of websites and online services. The role also includes design work for both print and online, applying proper design and UI/UX principles.The Digital Production Associate will work closely with our design/production leader and also collaborate with colleagues from across the company.This is a full-time position. Will also consider part-time for the right candidate.General production tasks include:- Edit and maintain website pages/articles- Create and schedule newsletter and marketing emails- Create marketing materials for upcoming events and products- Use in-house content management system to edit articles, create/manage products- Update and maintain product PDF manuals and deploy to website pages- Design, edit and manipulate PowerPoint presentationsBasic Requirements- Solid understanding of HTML and CSS: tag balancing, hyperlinking, parent/child relationships, using/chaining CSS classes- General knowledge of Adobe InDesign for a PDF workflow in conjunction with Adobe Acrobat- Web browser developer tools, desktop and mobile testing- Understanding email client limitations vs. Web browsers: code testing and troubleshooting- Image manipulation/optimization and color correction for Web and print, RGB vs. CMYK.- Understanding proper image file formats based on content and targeted use: JPG, PNG, SVG, TIF, EPS- Software: Microsoft Visual Studio/VS Code, Adobe Photoshop, InDesign, Illustrator, Acrobat, PowerPoint- Strong project management and communication skills- An eye for detail and a compulsion to get them rightCompensation/Benefits- Base salary based on experience and skills- 100% health care coverage- Available for bonuses- 401k with company match- 12 vacation days in first two years, then rises to 15 days- Approximately 10 holidays, we follow the financial markets- 6 personal/sick daysLocationHorsesmouth is based in Manhattan with telecommuters spread out across the country. Everyone is currently working remote. Work location is flexible, especially during this period.To ApplyPlease include a cover letter with your resume indicating your interest and explaining why this position might be a good fit.Job Types: Full-time, Part-timeBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insurancePaid time offProfessional development assistanceRetirement planSchedule:Monday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:Currently, everyone is working remote. We will return to an office when things are safe. When we do return, most positions will have some flexibility in determining their work location.Work Location:Fully RemoteHours per week:30-39Typical start time:9AMTypical end time:5PMThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAutonomous/Independent -- enjoys working with little directionCompany's website:www.horsesmouth.comCompany's Facebook page:https://www.facebook.com/HorsesmouthFA/COVID-19 Precaution(s):Remote interview process"
Provectus,2 days ago,NYC,Partner Sales Manager (East Coast),Bachelor's (Preferred)Sales Experience: 1 year (Preferred),NA,"Important - Please read the job description and the requirements. Only applicants that meet the min requirements will be considered.Provectus, a privately held company, is the global leader in providing AI solutions and we are recognized by Amazon as AWS’ Advanced Premier Partner certified in ML, BigData and DevOps competencies. We earned these competencies through our history of delivering AI/ML Solutions to a wide range of technology companies worldwide. Our go-to-market strategy is aligned with AWS at its core and we are looking for like-minded sales leaders who wish to contribute to our exponential growth and success.The Partner Sales Manager (PSM) will be responsible for overseeing Provectus’ alliance with AWS (Amazon Web Services), including developing the go-to-market strategy and its execution, and will oversee and manage all efforts to expand channel sales through AWS counterparts. AWS Experience is a requirement.Provectus offers a highly competitive salary and benefits/package for the right candidate.Location for this position: East Coast of the United States.Min Requirements: 2+ years working at AWS in PSM/AM/AE/PDM/BD roles - AWS Partner Network/AWS Sales Organization2+ years of work experience in technology sales and/or channel sales development.2+ years of work experience in AI Solutions & cloud infrastructure sales.Experience creating data-driven programs to drive partner strategies, and partner marketing campaigns and events.Excellent interpersonal, planning, and organizational skills.Understanding of big data analytics, DevOps, Cloud Services/Transformation, and AI/ML.Responsibilities: All sales activities with an initial focus on the West Coast to drive engagement & revenuesAchieving sales quotas and Gross Margin KPIsAWS partnership strategy, including strategic sales and go-to-market plansAWS channel strategy executionPartner marketing campaigns, win wires and eventsBusiness development initiatives within AWS and in the target territoryCommunication with AWS sales, partner management, and technology organizationsNew service offerings for AWS clientsJob Types: Full-time, ContractSchedule:Monday to FridayEducation:Bachelor's (Preferred)Experience:Sales Experience: 1 year (Preferred)Contract Renewal:LikelyWork Location:Multiple locationsManagement:Team LeadWork Remotely:Yes"
Quanta Mind,3 days ago,NYC,Information Technology Business Development Executive,Bachelor's (Preferred)IT Business Development: 3 years (Preferred),"From $35,539 a year","We are looking for ambitious and energetic Business Development Executives for our Information Technology domain to help us expand our business, identify growth opportunities and develop strategies to increase company business. The role will also include organizing and attending business meetings with prospective clients and generating business leads.Responsibilities· Work on a growth strategy focused on business / financial gain· Conduct research to identify new markets, customers and customer needs· Promote the company’s products/services addressing or predicting clients’ objectives· Provide trustworthy feedback and after-sales support· Build long-term relationships with new and existing clientsRequirementsEthical attitude and trust worthy personalityMinimum 5 years of work experience as business development executive or a relevant role in Information Technology domainMarket knowledge of IT businessKnowledge of North American / European / Middle eastern markets (any one or all)Communication and negotiation skills:Proficiency in Spoken and written EnglishKnowledge of other languages will be a plusMarket Competitive packageJob Types: Part-time, Contract, TemporarySalary: From $35,539.00 per yearBenefits:Flexible scheduleSchedule:Monday to FridayEducation:Bachelor's (Preferred)Experience:IT Business Development: 3 years (Preferred)Work Location:Fully RemoteCompany's website:www.quantamind.netCOVID-19 Precaution(s):Remote interview processVirtual meetings"
MAXIMUS,Today,NYC,"Supervisor, Call Center",,NA,"Job Description Summary:

The Supervisor - Call Center position will:

Supervises enrollment staff, including the functions associated with the call center.Monitors the performance of assigned staff, providing feedback and education to staff to improve performance.Assists Client Service Representatives and Lead Client Service Representatives in responding to enrollment services calls when needed.Ensures staff effectively educates clients in managed care, accessing services, and other information.Ensures staff effectively assesses clients’ health care needs and assist clients in choosing a health plan.Provides ongoing training and support to enrollment counselors.Ensures staff maintains updated knowledge of the project and updated knowledge of health plans that are available to clients.Ensures staff effectively assists clients in enrolling/disenrolling in plans.Conducts annual home-visit inspections of assigned Telecommuting CSRs.Some Saturday work required.
Â :

Provides immediate supervision to a unit or group of employees, assigning tasks, checking work at frequent intervals, and maintaining schedules.
A portion of time is normally spent performing individual tasks related to the unit or sub-unit.
Generally supervises semi-skilled employees or a few individual professional contributors.
Works on issues of limited scope.
Follows established practices and procedures in analyzing situations or data from which answers can be readily obtained.
Monitors daily operations of a unit or sub-unit.
Requires full knowledge of own area of functional responsibility.
Frequently interacts with subordinate employees and functional peer groups.
Interaction normally requires the ability to gain cooperation of others, conducting presentations concerning specific projects or schedules.
Receives predetermined work assignments that are subject to a moderate level of control and review.
Directs subordinates to complete assignments using established guidelines, procedures and policies.
MAXIMUS Introduction: Since 1975, Maximus has operated under its founding mission of Helping Government Serve the People, enabling citizens around the globe to successfully engage with their governments at all levels and across a variety of health and human services programs. Maximus delivers innovative business process management and technology solutions that contribute to improved outcomes for citizens and higher levels of productivity, accuracy, accountability and efficiency of government-sponsored programs. With more than 30,000 employees worldwide, Maximus is a proud partner to government agencies in the United States, Australia, Canada, Saudi Arabia, Singapore and the United Kingdom. For more information, visit https://www.maximus.com. Â : EEO Statement: Active military service members, their spouses, and veteran candidates often embody the core competencies Maximus deems essential, and bring a resiliency and dependability that greatly enhances our workforce. We recognize your unique skills and experiences, and want to provide you with a career path that allows you to continue making a difference for our country. We’re proud of our connections to organizations dedicated to serving veterans and their families. If you are transitioning from military to civilian life, have prior service, are a retired veteran or a member of the National Guard or Reserves, or a spouse of an active military service member, we have challenging and rewarding career opportunities available for you. A committed and diverse workforce is our most important resource. Maximus is an Affirmative Action/Equal Opportunity Employer. Maximus provides equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disabled status."
